Date,Open,High,Low,Close,Volume,Adj Close
2010-02-12,1075.95,1077.81,1062.97,1075.51,4160680000,1075.51
2010-02-11,1067.10,1080.04,1060.59,1078.47,4400870000,1078.47
2010-02-10,1069.68,1073.67,1059.34,1068.13,4251450000,1068.13
2010-02-09,1060.06,1079.28,1060.06,1070.52,5114260000,1070.52
2010-02-08,1065.51,1071.20,1056.51,1056.74,4089820000,1056.74
2010-02-05,1064.12,1067.13,1044.50,1066.19,6438900000,1066.19
2010-02-04,1097.25,1097.25,1062.78,1063.11,5859690000,1063.11
2010-02-03,1100.67,1102.72,1093.97,1097.28,4285450000,1097.28
2010-02-02,1090.05,1104.73,1087.96,1103.32,4749540000,1103.32
2010-02-01,1073.89,1089.38,1073.89,1089.19,4077610000,1089.19
2010-01-29,1087.61,1096.45,1071.59,1073.87,5412850000,1073.87
2010-01-28,1096.93,1100.22,1078.46,1084.53,5452400000,1084.53
2010-01-27,1091.94,1099.51,1083.11,1097.50,5319120000,1097.50
2010-01-26,1095.80,1103.69,1089.86,1092.17,4731910000,1092.17
2010-01-25,1092.40,1102.97,1092.40,1096.78,4481390000,1096.78
2010-01-22,1115.49,1115.49,1090.18,1091.76,6208650000,1091.76
2010-01-21,1138.68,1141.58,1114.84,1116.48,6874289600,1116.48
2010-01-20,1147.95,1147.95,1129.25,1138.04,4810560000,1138.04
2010-01-19,1136.03,1150.45,1135.77,1150.23,4724830000,1150.23
2010-01-15,1147.72,1147.77,1131.39,1136.03,4758730000,1136.03
2010-01-14,1145.68,1150.41,1143.80,1148.46,3915200000,1148.46
2010-01-13,1137.31,1148.40,1133.18,1145.68,4170360000,1145.68
2010-01-12,1143.81,1143.81,1131.77,1136.22,4716160000,1136.22
2010-01-11,1145.96,1149.74,1142.02,1146.98,4255780000,1146.98
2010-01-08,1140.52,1145.39,1136.22,1144.98,4389590000,1144.98
2010-01-07,1136.27,1142.46,1131.32,1141.69,5270680000,1141.69
2010-01-06,1135.71,1139.19,1133.95,1137.14,4972660000,1137.14
