YEAR WORLDCONSUMPTION COPPERPRICE INCOMEINDEX ALUMPRICE INVENTORYINDEX TIME
1951 3173.0 26.56 0.70 19.76 0.97679 1
1952 3281.1 27.31 0.71 20.78 1.03937 2
1953 3135.7 32.95 0.72 22.55 1.05153 3
1954 3359.1 33.90 0.70 23.06 0.97312 4
1955 3755.1 42.70 0.74 24.93 1.02349 5
1956 3875.9 46.11 0.74 26.50 1.04135 6
1957 3905.7 31.70 0.74 27.24 0.97686 7
1958 3957.6 27.23 0.72 26.21 0.98069 8
1959 4279.1 32.89 0.75 26.09 1.02888 9
1960 4627.9 33.78 0.77 27.40 1.03392 10
1961 4910.2 31.66 0.76 26.94 0.97922 11
1962 4908.4 32.28 0.79 25.18 0.99679 12
1963 5327.9 32.38 0.83 23.94 0.96630 13
1964 5878.4 33.75 0.85 25.07 1.02915 14
1965 6075.2 36.25 0.89 25.37 1.07950 15
1966 6312.7 36.24 0.93 24.55 1.05073 16
1967 6056.8 38.23 0.95 24.98 1.02788 17
1968 6375.9 40.83 0.99 24.96 1.02799 18
1969 6974.3 44.62 1.00 25.52 0.99151 19
1970 7101.6 52.27 1.00 26.01 1.00191 20
1971 7071.7 45.16 1.02 25.46 0.95644 21
1972 7754.8 42.50 1.07 22.17 0.96947 22
1973 8480.3 43.70 1.12 18.56 0.98220 23
1974 8105.2 47.88 1.10 21.32 1.00793 24
1975 7157.2 36.33 1.07 22.75 0.93810 25
