"PrivateHousingStarts" "PublicHousingStarts" "StockofDwellings" "Households" "LocalAuthorityRent" "CouncilTax" "Areas" "Density" "Males" "Females" "Population" "PopulationChange" "FertilityRate" "StdMortalityRatio" "PercentageUnder5" "Percentage5to15" "Percentage16topension" "PercentageOverPensionage" "InNursery" "InPreschool" "PrimaryPTRatio" "SecondaryPTRatio" "PostCompulsory" "NoGrade" "Grades" "InJobTraining" "Birthsper1000" "Deathsper1000" "PeriMortality" "InfantMortality" "PerBirthsOut" "Active" "TotalEmployment" "PerMfgEmployment" "PerUnemployment" "TotalClaimants" "PerClaimantFemale" "PerClaimLongT" "MeanWeekSal" "GDP" "Var.41" "Var.42"
"Aberdeen_City" 1142 136 100 96.8 27.5 712 186 1169 106 111 217 2.2 1.35 105 5.8 12.3 65.8 17.1 126 50 19.9 12.9 113 1.9 53 15.4 11 10.4 7.7 5.7 35 82.4 113 14.3 4.9 3.6 21 17.6 404.8 13566 71.8 60.3
"Aberdeenshire" 533 90 92 87.1 29.7 643 6318 36 113 114 227 20.4 1.64 97 6.5 15.3 63.8 15.3 34.4 34 18.6 13.8 81 9.2 58.2 11.4 11.3 9 9 3.8 24 80.2 112 14.5 NA 2.8 26.5 16.3 330.9 13566 63.9 52.3
"Angus" 272 167 48 46.2 23.5 679 2181 51 54 57 111 4.9 1.67 113 6 13.9 61.6 19.4 70.2 38 19.1 13 89 NA 62 NA 11 13.2 5.6 3.2 33 86.3 59 16.9 NA 3.2 28.3 23.3 320 9611 64.7 53.4
"Argyll_and_Bute" 300 266 43 37.7 35 801 6930 13 45 46 91 -0.1 1.7 109 5.5 13.6 61.1 20.8 38.8 13 17.3 12.4 81 8.6 54.1 NA 10.5 13.8 8.6 7 33 80.4 41 NA 11.9 2.9 27.1 22.8 305.2 9483 67.3 57
"Clackmannanshire" 125 37 21 20 29.6 753 157 312 24 25 49 1.2 1.76 115 6.6 14.6 63 16.7 90.9 47 21.2 13.4 78 NA 63.6 NA 12.3 11.3 10.4 6.3 40 64.7 17 NA NA 1.6 22 27.5 NA 9265 80 68.7
"Dumfries_and_Galloway" 388 159 66 62.3 32.7 714 6439 23 72 76 148 1.4 1.78 107 5.9 13.8 60.3 21.2 21.3 44 18.9 12.7 93 2.7 60.2 NA 10.9 12.8 8.8 7.8 34 79 67 17.7 NA 4.4 24.3 23.4 300.2 9555 60.7 48.8
"Dundee_City" 182 151 72 67.5 36.8 920 65 2306 72 79 150 -11.4 1.57 118 5.9 13.3 62 19.9 114.3 59 18 12.2 117 0.6 46.9 NA 11.5 13.1 8.6 6.8 51 72.2 60 14.6 9.3 6.2 21.2 26.3 327.4 9611 76 65.5
"East_Ayrshire" 262 30 51 50.1 26.9 779 1252 98 59 63 122 -3.9 1.64 114 6.3 14.5 61.9 18.3 43.4 43 21 13.5 89 6.4 50.2 NA 11.4 11.6 12.3 6.5 40 75.2 50 23.1 14.2 4.5 20.5 28.9 307.6 9483 81.1 70.5
"East_Dunbartonshire" 236 6 42 41.3 29.6 771 172 645 54 57 111 1 1.56 102 5.8 14.2 64.5 16.5 76.2 11 22.2 13.9 94 NA 71.2 NA 10.5 9.2 8.1 7.2 19 81.1 53 NA NA 2.2 23.2 17.3 329.2 9483 69.8 59.1
"East_Lothian" 469 165 38 36.3 28.8 724 678 130 43 45 88 9.2 1.77 112 6.4 13.7 61.5 19.5 48.6 56 20.6 13.4 66 12.7 46 NA 12.3 12.6 7.6 5.2 29 80.3 41 NA NA 1.7 20.5 16.3 310.3 12656 74.2 62.7
"East_Renfrewshire" 295 96 34 33.1 28.9 682 173 510 43 45 88 9.8 1.67 96 6.2 14.6 63 17.1 146 33 22.3 14 91 NA 78.8 NA 11.5 9.5 7.4 6.2 19 83 42 16.8 NA 1.4 23.8 20.9 NA 9483 61.7 51.6
"Edinburgh_City" 1496 525 206 198.2 43.8 837 262 1711 217 232 449 0.6 1.34 111 5.7 11.6 65.8 17.9 132.3 50 20.7 13.4 109 2.3 56.7 14.7 11.4 11.7 8.1 6.4 33 74.5 207 10.3 6.6 11.1 22.1 20.4 362.8 12656 71.9 62
"Eilean_Siar_(Western_Isles)" 75 10 13 11.6 36.5 599 3134 9 14 15 29 -8.5 1.65 117 5.5 15.1 59.8 20.7 12.6 NA 13 9.5 102 3.2 60.9 NA 9.7 14.9 11.2 5.7 19 83.8 15 NA NA 1.4 19.9 23.8 NA 8298 79.4 68.4
"Falkirk" 651 66 61 59.1 29.8 680 299 478 69 74 143 -1.5 1.58 121 6.2 13.7 63.8 17.4 81.8 40 21.3 13.6 91 4 49.4 NA 11.7 11.7 7.9 4.8 34 77.6 66 23.4 NA 4.5 21.5 19.9 335.6 9265 80 69.2
"Fife" 202 251 152 145.6 30.3 747 1323 264 169 180 349 2.3 1.55 109 6 14.4 62.3 18.3 20.2 51 19.1 13.4 106 5.3 52.1 13.5 11 11.4 8.7 7.1 37 77.9 147 21.7 9.3 11.1 22.5 22.7 325.2 8314 76.1 64.7
"Glasgow_City" 1884 1056 286 271.9 40.4 982 175 3522 294 322 616 -13.5 1.48 137 6.3 13.3 63.2 18.1 99.8 53 19.3 12.4 88 12.7 41.9 15.3 12.5 14 11.1 6.9 49 65.3 210 14.2 15.2 26.9 19.4 29.5 341.5 9483 83.6 75
"Highland" 664 161 95 85.8 38.5 719 25784 8 102 106 209 7.1 1.77 109 6.2 14.9 61.8 18.1 41.5 19 17.3 11.8 94 NA 60 NA 11.4 11.4 8.3 6.5 34 80.9 100 12.9 9.3 7.9 25.9 20.9 296.2 8298 72.6 62.1
"Inverclyde" 291 126 39 38 34.6 831 162 538 42 45 87 -13.9 1.66 138 6.2 14.6 61.7 18.6 105.8 27 21.4 13.6 95 NA 56.2 NA 11.7 14.5 11.5 8 45 80.2 39 26.5 NA 2.5 18.5 12.7 323.4 9483 78 67.2
"Midlothian" 362 61 32 30.8 25.2 858 356 225 39 41 80 -4.2 1.61 119 6.1 14.3 64.2 16.4 49 54 19.9 13.6 77 3.8 53 NA 11.2 10.7 10.8 6 35 84.8 39 NA NA 1.6 19.4 13.7 309 12656 79.9 67.7
"Moray" 327 0 37 34.9 28 652 2238 39 43 44 87 3.6 1.76 108 6.6 14.6 61.8 18 21.6 31 18.9 12.2 91 8 54.3 NA 12.4 11 9.8 7.4 26 86.4 43 14.3 NA 2.2 27.2 15.4 285 13566 67.2 52.7
"North_Ayrshire" 344 157 60 57.7 30.2 718 884 158 67 72 140 1.6 1.63 115 6.2 15 62.2 17.6 115.3 23 21.2 13.4 72 10.5 45.6 NA 11.3 11.8 11.6 6.9 42 73.5 58 27.4 9.1 5.1 23.7 19.2 317.8 9483 76.3 65.7
"North_Lanarkshire" 1557 175 130 128.5 31.3 787 474 688 158 168 326 -4.6 1.66 126 6.4 14.9 63.8 15.9 64.4 25 20.2 13.4 94 2.3 47.5 11.8 12.5 11.1 11.6 8.5 38 74.7 133 21.2 12.4 10.7 20.8 20.1 336.7 9483 82.6 72.2
"Orkney_Islands" 0 6 9 8.1 33.8 515 992 20 10 10 20 3.2 1.78 106 6 15.3 61.2 18.5 31.8 52 15.1 10.9 97 0 69.3 NA 10.9 11.6 7.5 1.4 30 87.8 10 NA NA 0.4 26.8 24.4 NA 8298 57.3 47.4
