 YR   MON  NINO1+2  ANOM   NINO3    ANOM   NINO4    ANOM   NINO3.4  ANOM
1950   1   23.11   -1.42   23.74   -1.91   27.03   -1.12   24.83   -1.72
1950   2   24.20   -1.71   24.92   -1.45   27.15   -0.92   25.20   -1.53
1950   3   25.37   -1.00   26.33   -0.80   27.06   -1.11   26.03   -1.20
1950   4   23.86   -1.71   26.46   -0.97   27.29   -1.10   26.36   -1.30
1950   5   23.03   -1.39   25.72   -1.38   27.59   -1.10   26.19   -1.58
1950   6   21.57   -1.50   25.55   -0.92   27.97   -0.70   26.52   -1.01
1950   7   20.63   -1.34   24.97   -0.68   27.83   -0.78   26.42   -0.69
1950   8   20.15   -0.86   24.61   -0.45   27.72   -0.78   25.98   -0.77
1950   9   19.67   -1.10   24.22   -0.72   27.66   -0.85   25.78   -0.92
1950  10   20.03   -1.04   24.39   -0.56   27.44   -1.07   25.96   -0.68
1950  11   20.02   -1.72   24.00   -1.05   27.35   -1.11   25.64   -0.96
1950  12   21.80   -1.11   24.30   -0.91   27.30   -1.05   25.50   -1.07
1951   1   24.19   -0.35   25.00   -0.65   27.36   -0.79   25.46   -1.09
1951   2   25.28   -0.64   25.80   -0.57   27.27   -0.80   25.78   -0.96
1951   3   25.60   -0.78   26.91   -0.22   27.96   -0.21   26.72   -0.51
1951   4   25.37   -0.20   27.31   -0.11   28.49    0.09   27.24   -0.43
1951   5   24.79    0.37   27.08   -0.02   29.04    0.35   27.68   -0.09
1951   6   24.69    1.62   26.57    0.10   28.74    0.07   27.46   -0.07
1951   7   23.86    1.88   26.54    0.89   28.82    0.21   27.72    0.61
1951   8   22.32    1.31   25.67    0.62   28.53    0.04   27.36    0.61
1951   9   21.44    0.67   25.56    0.62   28.62    0.11   27.51    0.81
1951  10   21.77    0.70   25.85    0.90   28.71    0.20   27.43    0.78
1951  11   22.33    0.59   26.18    1.13   28.74    0.29   27.48    0.87
1951  12   22.89   -0.01   25.98    0.77   28.53    0.19   27.12    0.55
1952   1   24.52   -0.02   25.85    0.20   28.35    0.19   26.85    0.30
1952   2   26.21    0.29   26.46    0.08   28.08    0.00   26.79    0.06
1952   3   26.37    0.00   27.18    0.05   28.10   -0.07   27.32    0.09
1952   4   24.73   -0.84   27.41   -0.02   28.52    0.12   27.88    0.21
1952   5   23.71   -0.71   26.92   -0.18   28.69   -0.01   27.99    0.21
1952   6   22.34   -0.73   25.84   -0.63   28.47   -0.20   27.33   -0.20
1952   7   20.89   -1.09   24.92   -0.73   28.24   -0.37   26.72   -0.38
1952   8   20.02   -0.99   24.50   -0.56   28.09   -0.40   26.46   -0.29
1952   9   19.63   -1.14   24.43   -0.51   28.55    0.04   26.54   -0.17
1952  10   20.40   -0.67   24.52   -0.42   28.25   -0.26   26.54   -0.10
1952  11   20.77   -0.97   24.36   -0.69   28.28   -0.17   26.36   -0.24
1952  12   22.39   -0.52   24.88   -0.33   28.30   -0.04   26.53   -0.04
1953   1   24.15   -0.39   25.77    0.11   28.31    0.15   26.85    0.29
1953   2   26.34    0.42   26.74    0.36   28.26    0.18   27.19    0.45
1953   3   27.36    0.98   27.57    0.44   28.10   -0.07   27.68    0.45
1953   4   27.03    1.46   27.91    0.49   28.53    0.14   28.19    0.53
1953   5   25.47    1.05   27.39    0.28   28.92    0.23   28.29    0.52
1953   6   23.49    0.42   26.77    0.30   29.18    0.51   28.02    0.49
1953   7   22.20    0.23   25.81    0.16   29.02    0.41   27.52    0.42
1953   8   21.45    0.44   25.20    0.14   28.83    0.34   27.16    0.41
1953   9   21.25    0.49   25.17    0.24   28.61    0.09   27.13    0.43
1953  10   20.95   -0.12   25.07    0.13   28.91    0.41   27.02    0.38
1953  11   21.60   -0.14   25.25    0.19   28.91    0.46   26.96    0.36
1953  12   22.44   -0.47   25.55    0.34   28.74    0.40   26.99    0.42
1954   1   23.02   -1.52   25.73    0.07   28.30    0.14   27.03    0.47
1954   2   25.00   -0.92   26.43    0.05   28.16    0.08   27.22    0.48
