     dur   res  educ mean   var   n       y 
 1   0-4  Suva  none 0.50  1.14   8    4.00
 2   0-4  Suva lower 1.14  0.73  21   23.94
 3   0-4  Suva upper 0.90  0.67  42   37.80
 4   0-4  Suva  sec+ 0.73  0.48  51   37.23
 5   0-4 urban  none 1.17  1.06  12   14.04
 6   0-4 urban lower 0.85  1.59  27   22.95
 7   0-4 urban upper 1.05  0.73  39   40.95
 8   0-4 urban  sec+ 0.69  0.54  51   35.19
 9   0-4 rural  none 0.97  0.88  62   60.14
10   0-4 rural lower 0.96  0.81 102   97.92
11   0-4 rural upper 0.97  0.80 107  103.79
12   0-4 rural  sec+ 0.74  0.59  47   34.78
13   5-9  Suva  none 3.10  1.66  10   31.00
14   5-9  Suva lower 2.67  0.99  30   80.10
15   5-9  Suva upper 2.04  1.87  24   48.96
16   5-9  Suva  sec+ 1.73  0.68  22   38.06
17   5-9 urban  none 4.54  3.44  13   59.02
18   5-9 urban lower 2.65  1.51  37   98.05
19   5-9 urban upper 2.68  0.97  44  117.92
20   5-9 urban  sec+ 2.29  0.81  21   48.09
21   5-9 rural  none 2.44  1.93  70  170.80
22   5-9 rural lower 2.71  1.36 117  317.07
23   5-9 rural upper 2.47  1.30  81  200.07
24   5-9 rural  sec+ 2.24  1.19  21   47.04
25 10-14  Suva  none 4.08  1.72  12   48.96
26 10-14  Suva lower 3.67  2.31  27   99.09
27 10-14  Suva upper 2.90  1.57  20   58.00
28 10-14  Suva  sec+ 2.00  1.82  12   24.00
29 10-14 urban  none 4.17  2.97  18   75.06
30 10-14 urban lower 3.33  2.99  43  143.19
31 10-14 urban upper 3.62  1.96  29  104.98
32 10-14 urban  sec+ 3.33  1.52  15   49.95
33 10-14 rural  none 4.14  3.52  88  364.32
34 10-14 rural lower 4.14  3.31 132  546.48
35 10-14 rural upper 3.94  3.28  50  197.00
36 10-14 rural  sec+ 3.33  2.50   9   29.97
37 15-19  Suva  none 4.21  2.03  14   58.94
38 15-19  Suva lower 4.94  1.46  31  153.14
39 15-19  Suva upper 3.15  0.81  13   40.95
40 15-19  Suva  sec+ 2.75  0.92   4   11.00
41 15-19 urban  none 4.70  7.40  23  108.10
42 15-19 urban lower 5.36  2.97  42  225.12
43 15-19 urban upper 4.60  3.83  20   92.00
44 15-19 urban  sec+ 3.80  0.70   5   19.00
45 15-19 rural  none 5.06  4.91 114  576.84
46 15-19 rural lower 5.59  3.23  86  480.74
47 15-19 rural upper 4.50  3.29  30  135.00
48 15-19 rural  sec+ 2.00  0.00   1    2.00
49 20-24  Suva  none 5.62  4.15  21  118.02
50 20-24  Suva lower 5.06  4.64  18   91.08
51 20-24  Suva upper 3.92  4.08  12   47.04
52 20-24  Suva  sec+ 2.60  4.30   5   13.00
53 20-24 urban  none 5.36  7.19  22  117.92
54 20-24 urban lower 5.88  4.44  25  147.00
55 20-24 urban upper 5.00  4.33  13   65.00
56 20-24 urban  sec+ 5.33  0.33   3   15.99
57 20-24 rural  none 6.46  8.20 117  755.82
58 20-24 rural lower 6.34  5.72  68  431.12
59 20-24 rural upper 5.74  5.20  23  132.02
60 20-24 rural  sec+ 2.50  0.50   2    5.00
61 25-29  Suva  none 6.60 12.40  47  310.20
62 25-29  Suva lower 6.74 11.66  27  181.98
63 25-29  Suva upper 5.38  4.27   8   43.04
64 25-29  Suva  sec+ 2.00  0.00   1    2.00
65 25-29 urban  none 6.52 11.45  46  299.92
66 25-29 urban lower 7.51 10.53  45  337.95
67 25-29 urban upper 7.54 12.60  13   98.02
69 25-29 rural  none 7.48 11.34 195 1458.60
70 25-29 rural lower 7.81  7.57  59  460.79
71 25-29 rural upper 5.80  7.07  10   58.00
