"consump","price","income","farmPrice","trend"
98.485,100.323,87.4,98,1
99.187,104.264,97.6,99.1,2
102.163,103.435,96.7,99.1,3
101.504,104.506,98.2,98.1,4
104.24,98.001,99.8,110.8,5
103.243,99.456,100.5,108.2,6
103.993,101.066,103.2,105.6,7
99.9,104.763,107.8,109.8,8
100.35,96.446,96.6,108.7,9
102.82,91.228,88.9,100.6,10
95.435,93.085,75.1,81,11
92.424,98.801,76.9,68.6,12
94.535,102.908,84.6,70.9,13
98.757,98.756,90.6,81.4,14
105.797,95.119,103.1,102.3,15
100.225,98.451,105.1,105,16
103.522,86.498,96.4,110.5,17
99.929,104.016,104.4,92.5,18
105.223,105.769,110.7,89.3,19
106.232,113.49,127.1,93,20
