                 STATE             ST_ABB     YR       P_CAP         HWY        WATER       UTIL          PC         GSP       EMP      UNEMP

                 ALABAMA             AL      1970     15032.67     7325.80     1655.68     6051.20     35793.80     28418     1010.5      4.7
                 ALABAMA             AL      1971     15501.94     7525.94     1721.02     6254.98     37299.91     29375     1021.9      5.2
                 ALABAMA             AL      1972     15972.41     7765.42     1764.75     6442.23     38670.30     31303     1072.3      4.7
                 ALABAMA             AL      1973     16406.26     7907.66     1742.41     6756.19     40084.01     33430     1135.5      3.9
                 ALABAMA             AL      1974     16762.67     8025.52     1734.85     7002.29     42057.31     33749     1169.8      5.5
                 ALABAMA             AL      1975     17316.26     8158.23     1752.27     7405.76     43971.71     33604     1155.4      7.7
                 ALABAMA             AL      1976     17732.86     8228.19     1799.74     7704.93     50221.57     35764     1207.0      6.8
                 ALABAMA             AL      1977     18111.93     8365.67     1845.11     7901.15     51084.99     37463     1269.2      7.4
                 ALABAMA             AL      1978     18479.74     8510.64     1960.51     8008.59     52604.05     39964     1336.5      6.3
                 ALABAMA             AL      1979     18881.49     8640.61     2081.91     8158.97     54525.86     40979     1362.0      7.1
                 ALABAMA             AL      1980     19012.34     8663.50     2138.52     8210.33     56589.16     40380     1356.1      8.8
                 ALABAMA             AL      1981     19118.52     8628.83     2218.91     8270.79     56481.93     41105     1347.6     11.0
                 ALABAMA             AL      1982     19118.25     8645.14     2215.84     8257.26     58021.69     40328     1312.5     14.0
                 ALABAMA             AL      1983     19122.00     8612.47     2230.91     8278.63     58893.97     42245     1328.8     14.0
                 ALABAMA             AL      1984     19257.47     8655.94     2235.16     8366.37     59446.86     45118     1387.7     11.0
                 ALABAMA             AL      1985     19433.36     8726.24     2253.03     8454.09     60688.04     46849     1427.1      8.9
                 ALABAMA             AL      1986     19723.37     8813.24     2308.99     8601.14     61628.88     48409     1463.3      9.8
                 ARIZONA             AZ      1970     10148.42     4556.81     1627.87     3963.75     23585.99     19288      547.4      4.4
                 ARIZONA             AZ      1971     10560.54     4701.97     1627.34     4231.23     24924.82     21040      581.4      4.7
                 ARIZONA             AZ      1972     10977.53     4847.84     1614.58     4515.11     26058.65     23289      646.3      4.2
                 ARIZONA             AZ      1973     11598.26     4963.46     1647.88     4986.92     27304.64     25244      714.5      4.1
                 ARIZONA             AZ      1974     12129.06     5071.38     1678.00     5379.69     28829.44     25698      746.0      5.6
                 ARIZONA             AZ      1975     12929.06     5163.41     1764.87     6000.77     30243.29     24915      729.1     12.0
                 ARIZONA             AZ      1976     13603.89     5249.82     1910.43     6443.63     29384.15     26041      758.7      9.8
                 ARIZONA             AZ      1977     14175.42     5358.45     1973.48     6843.50     30072.60     28110      809.3      8.2
                 ARIZONA             AZ      1978     14812.04     5470.00     2038.30     7303.73     31139.49     31062      895.4      6.1
                 ARIZONA             AZ      1979     15547.62     5603.12     2132.49     7812.01     32377.41     33943      979.9      5.1
                 ARIZONA             AZ      1980     16344.90     5720.38     2165.64     8458.88     33769.92     34708     1014.0      6.7
                 ARIZONA             AZ      1981     17088.30     5816.05     2265.42     9006.84     36387.15     35244     1040.8      6.1
                 ARIZONA             AZ      1982     17650.57     5918.50     2377.20     9354.87     37332.09     33603     1029.8      9.9
                 ARIZONA             AZ      1983     18108.24     6019.87     2513.38     9574.99     37829.83     35963     1077.8      9.1
                 ARIZONA             AZ      1984     18792.09     6101.45     2574.78    10115.86     38330.02     40010     1181.9      5.0
                 ARIZONA             AZ      1985     19414.85     6282.51     2737.37    10394.97     39246.83     43350     1278.6      6.5
                 ARIZONA             AZ      1986     20212.42     6553.40     2923.15    10735.88     44189.19     46058     1337.8      6.9
                 ARKANSAS            AR      1970      7613.26     3647.73      644.99     3320.54     19749.63     15392      536.2      5.0
                 ARKANSAS            AR      1971      7982.03     3686.95      651.63     3643.44     20636.47     16177      551.0      5.4
                 ARKANSAS            AR      1972      8309.01     3780.05      668.50     3860.47     21245.48     17702      581.5      4.6
                 ARKANSAS            AR      1973      8399.59     3894.77      691.76     3813.06     21654.02     18825      614.5      4.1
                 ARKANSAS            AR      1974      8512.05     3985.99      726.62     3799.44     22635.84     19287      640.7      4.8
                 ARKANSAS            AR      1975      8651.26     4051.66      742.50     3857.10     23519.27     19024      623.8      9.5
                 ARKANSAS            AR      1976      8921.91     4185.40      761.38     3975.13     26158.59     20277      660.0      7.1
                 ARKANSAS            AR      1977      9234.85     4316.52      793.54     4124.79     26716.93     21410      695.6      6.6
                 ARKANSAS            AR      1978      9374.54     4405.68      821.01     4147.86     27428.45     23063      732.7      6.4
                 ARKANSAS            AR      1979      9554.83     4483.21      859.23     4212.40     28394.22     23501      749.4      6.2
                 ARKANSAS            AR      1980      9705.24     4531.36      890.41     4283.48     29476.51     23210      742.3      7.6
                 ARKANSAS            AR      1981      9872.87     4608.72      916.68     4347.47     31235.95     24134      740.1      9.1
                 ARKANSAS            AR      1982      9919.35     4681.50      905.92     4331.93     32008.74     23462      720.1      9.8
                 ARKANSAS            AR      1983      9861.76     4662.68      934.14     4264.94     32385.62     24415      741.3     10.0
                 ARKANSAS            AR      1984      9754.55     4654.37      934.60     4165.58     32625.51     26512      780.2      8.9
                 ARKANSAS            AR      1985      9675.47     4639.30      947.04     4089.13     33229.46     27159      797.1      8.7
                 ARKANSAS            AR      1986      9787.20     4652.71      960.66     4173.84     32889.30     28168      813.8      8.7
                 CALIFORNIA          CA      1970    128545.36    42961.31    17837.26    67746.79    172791.92    263933     6946.2      7.2
                 CALIFORNIA          CA      1971    132263.33    44768.37    18448.04    69046.92    180864.28    265600     6917.0      8.8
                 CALIFORNIA          CA      1972    134451.52    46045.52    18813.82    69592.17    187587.86    281159     7209.9      7.6
                 CALIFORNIA          CA      1973    135988.40    47064.46    19084.52    69839.43    193535.82    293735     7621.9      7.0
                 CALIFORNIA          CA      1974    136827.29    47572.52    19092.78    70162.00    204096.43    298408     7834.3      7.7
                 CALIFORNIA          CA      1975    138487.39    47699.42    19654.53    71133.44    213216.84    304518     7847.2      9.9
                 CALIFORNIA          CA      1976    139514.18    47568.65    20346.64    71598.89    221958.93    320160     8154.2      9.2
                 CALIFORNIA          CA      1977    139910.22    47137.99    21014.45    71757.78    226544.27    338040     8599.7      8.2
                 CALIFORNIA          CA      1978    139408.84    46472.40    21556.85    71379.60    233936.43    359603     9199.8      7.1
                 CALIFORNIA          CA      1979    140217.32    46132.47    22297.31    71787.54    243776.26    374928     9664.6      6.2
                 CALIFORNIA          CA      1980    139776.97    45597.88    22925.93    71253.16    255305.95    380221     9848.8      6.8
                 CALIFORNIA          CA      1981    139662.44    45042.91    23291.36    71328.17    286402.55    378436     9985.3      7.4
                 CALIFORNIA          CA      1982    139232.39    44490.48    23502.43    71239.48    297844.03    372541     9810.3      9.9
                 CALIFORNIA          CA      1983    138535.66    44027.17    23828.67    70679.82    305210.16    390528     9965.8      9.7
                 CALIFORNIA          CA      1984    138101.55    43826.52    23841.32    70433.71    312008.57    420525    10574.0      7.8
                 CALIFORNIA          CA      1985    138170.93    43566.26    24121.33    70483.33    324335.15    444082    10979.0      7.2
                 CALIFORNIA          CA      1986    139042.68    43350.54    24592.33    71099.80    363779.70    464550    11258.0      6.7
                 COLORADO            CO      1970     11402.52     4403.21     2165.03     4834.28     23709.75     25689      750.2      4.4
                 COLORADO            CO      1971     11682.06     4535.52     2166.21     4980.33     25186.80     27341      787.0      4.0
                 COLORADO            CO      1972     12010.91     4757.59     2133.49     5119.84     26010.17     29624      869.4      3.6
                 COLORADO            CO      1973     12473.28     4982.21     2206.43     5284.65     27387.44     32417      936.0      3.4
